web-scraper-order,web-scraper-start-url,autoscout24,autoscout24-href,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw
"1733470935-54","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/fiat-carthago-chic-line-fiat-ducato-150ps-11916489","FIAT *** Carthago Chic Line - Fiat Ducato 150PS ***","CHF 57'700.–","109'000 km","Diesel","Kriesbachstrasse 7, 8304 Wallisellen"
"1733470938-55","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/sun-living-s-series-s70-df-a276-10052027","SUN LIVING S-SERIES S70 DF (A276)","CHF 71'900.–","14'500 km","Diesel","Wannenweg 1, 4133 Pratteln"
"1733470940-56","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/fiat-18-28td-11731161","FIAT 18 2.8TD","CHF 11'300.–","96'000 km","Diesel","Murtenstrasse 59, 1784 Courtepin (Kanton Freiburg)"
"1733470942-57","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/mercedes-benz-hymer-11771059","MERCEDES-BENZ Hymer","CHF 19'870.–","51'000 km","Diesel","Bassersdorferstrasse 117, 8302 Kloten"
"1733470945-58","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-t5-25-tdi-pd-4motion-camper-wohnmobil-11822064","VW T5 2.5 TDI PD 4MOTION Camper Wohnmobil","CHF 21'800.–","184'000 km","Diesel","Buzibachstrasse 47, 6023 Rothenburg"
"1733470947-59","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-lt-28-camping-11221694","VW LT 28 Camping","CHF 3'500.–","199'999 km","-","Route d'Oron 102, 1000 Lausanne"
"1733470949-60","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/globecar-11837750","GLOBECAR","CHF 42'500.–","16'000 km","Diesel","Lerchenweg 14. Oder Läufelfingen ramsachstrasse 26, 4538 Oberbipp"
"1733470952-61","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/roller-team-kronos-284-tl20-11908028","ROLLER TEAM Kronos 284 TL20","CHF 59'890.–","34'700 km","Diesel","Hauptstrasse 70, 8546 Islikon"
"1733470954-62","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/pilote-v600g-x-edition-11912026","PILOTE V600G X-Edition","CHF 62'500.–","17'500 km","Diesel","Rapperswilerstrasse 50, 8630 Rüti ZH"
"1733470956-63","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-california-oce-lib-4m-a-11836226","VW California Oce. Lib 4M A","CHF 58'900.–","42'300 km","Diesel","Ohrbühlstrasse 37, 8409 Winterthur"
"1733470958-64","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=76","","https://www.autoscout24.ch/de/d/vw-typ-2-reimo-hochdach-11440574","VW Typ 2 Reimo Hochdach","CHF 19'900.–","169'580 km","Benzin","Breitenstrasse 1, 8725 Gebertingen"
