web-scraper-order,description_raw,location_raw,price_raw,price,price_cat,mileage_raw,mileage,mileage_cat,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733472485-450,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,"ROUTE DE GRANDCOUR 71, 1530 PAYERNE",CHF 61'900.–,61900,50000 - 99999,35'500 km,35500,low,Diesel,1,Nidwalden,07,46.934852600097656,8.393327713012695
1733472488-451,VW 2.0 TDI 4MOTION MULTIVAN CAMPER,"THALERSTRASSE 46A, 9424 RHEINECK",CHF 25'900.–,25900,20000 - 49999,186'000 km,186000,mid,Diesel,1,Bern,02,46.76797103881836,7.352298259735107
1733472504-453,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE TRAVEL,"RUE EUGÈNE-MARZIANO 18, 1227 LES ACACIAS",CHF 50'500.–,50500,50000 - 99999,51'000 km,51000,low-mid,Diesel,1,Bern,02,47.07444381713867,7.581071853637695
1733472510-454,DETHLEFFS XXLA 9000,"BERNSTRASSE 115, 3613 STEFFISBURG",CHF 169'500.–,169500,100000 - 199999,13'500 km,13500,low,Diesel,1,Aargau,19,47.414920806884766,8.382509231567383
1733472513-455,MERCEDES-BENZ MARCO POLO 220 D A,"INDUSTRIESTRASSE 6, 3421 LYSSACH",CHF 62'900.–,62900,50000 - 99999,16'900 km,16900,low,Diesel,1,Aargau,19,47.37942886352539,8.14233112335205
1733472516-456,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION LIBERTY,"BRUGGERSTRASSE 194, 5400 BADEN",CHF 59'500.–,59500,50000 - 99999,29'008 km,29008,low,Diesel,1,Zürich,01,47.272743225097656,8.43922233581543
1733472519-457,VW 2.4D WESTFALIA MIT HOCHDACH,"JOHANN-RENFER-STRASSE 3, 2504 BIEL/BIENNE",CHF 16'690.–,16690,0 - 19999,244'990 km,244990,mid-high,Diesel,1,Solothurn,11,47.24129867553711,7.598618030548096
1733472524-458,VW T6 CALIFORNIA 2.0 BI-TDI BEACH LIBERTY 4MOTION,"LAUBISRÜTISTRASSE 77, 8713 UERIKON",CHF 47'900.–,47900,20000 - 49999,109'000 km,109000,mid,Diesel,1,Luzern,03,47.04911422729492,8.27134895324707
1733472528-459,LAIKA IVECO LAIKA ECOVIP,"HAUPTSTRASSE 70 A, 9105 SCHÖNENGRUND",CHF 27'500.–,27500,20000 - 49999,138'000 km,138000,mid,Diesel,1,Uri,04,46.855812072753906,8.639747619628906
1733472533-460,TOYOTA 400 HDT LONG 4.2D BUSCHTAXI,"STAUFMOOS, 6170 SCHÜPFHEIM",CHF 79'800.–,79800,50000 - 99999,61'000 km,61000,low-mid,Diesel,1,Luzern,03,47.04475021362305,8.191388130187988
