web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733475884-1256,VW T5 California 2.0 Bi-TDI Comfortline Last Edition 4Motion,CHF 55'000.–,71'900 km,Diesel,"8310 Kemptthal, Kemptpark 3, 8832 Wollerau, Roosstrasse 49",55000,71900,1,50000 - 99999,low-mid,47.350643157958984,7.953776836395264
1733475890-1258,FIAT Ducato Forster Van 599 VB,CHF 58'000.–,17'000 km,Diesel,8353 Elgg,58000,17000,1,50000 - 99999,low,46.22016143798828,6.085522174835205
1733475893-1259,FIAT Ducato 230/18,CHF 22'000.–,144'400 km,Diesel,1470 Estavayer-le-Lac,22000,144400,1,20000 - 49999,mid,46.22016143798828,6.085522174835205
1733475897-1260,MERCEDES-BENZ Viano 2.2 CDI Blue Efficiency Marco Polo A,CHF 32'000.–,205'000 km,Diesel,5430 Wettingen,32000,205000,1,20000 - 49999,mid-high,47.50163269042969,8.009786605834961
1733475900-1261,VW California 2.0 TDI Last Edition,CHF 48'500.–,50'000 km,Diesel,4332 Stein,48500,50000,1,20000 - 49999,low,47.05670928955078,8.533157348632812
1733475902-1262,VW T6 California 2.0 TDI Ocean,CHF 48'800.–,121'500 km,Diesel,9487 Gamprin,48800,121500,1,20000 - 49999,mid,47.33500289916992,8.814070701599121
1733475906-1263,LMC Liberty Cruiser T731G,CHF 39'900.–,82'500 km,Diesel,6033 Buchrain,39900,82500,1,20000 - 49999,low-mid,47.086952209472656,8.399235725402832
1733475909-1264,PILOTE G600G,CHF 47'000.–,78'400 km,Diesel,2036 Cormondrèche,47000,78400,1,20000 - 49999,low-mid,47.41262435913086,8.53308391571045
1733475911-1265,FORD Transit Van 290 L2 Ambiente 2.0 TDCi 105 FWD,CHF 78'000.–,30'000 km,Diesel,9016 St. Gallen,78000,30000,1,50000 - 99999,low,46.52119064331055,6.61853551864624
1733475914-1266,VW 2.0 TDI 4motion,CHF 52'800.–,100'000 km,Diesel,7026 Maladers,52800,100000,1,50000 - 99999,low-mid,47.46761703491211,7.881037712097168
1733475917-1267,FORD NUGGET HOCHDACH,CHF 38'500.–,40'000 km,Diesel,2014 Bôle,38500,40000,1,20000 - 49999,low,46.23754119873047,9.128365516662598
1733475927-1268,VW T6 California 2.0 TDI Beach Edition,CHF 45'900.–,95'800 km,Diesel,"Bahnhofstrasse 29, 5623 Boswil",45900,95800,1,20000 - 49999,low-mid,47.326969146728516,8.54680061340332
1733475930-1269,WESTFALIA 150PS VW T6.1 4x4 Westfalia Kepler Six Langer Radstand,CHF 59'999.–,40'100 km,Diesel,"St. Laurentiusstrasse 2, 4613 Rickenbach",59999,40100,1,50000 - 99999,low,47.03443145751953,8.26345443725586
1733475933-1270,HYMER Tramp GT 644,CHF 29'777.–,135'100 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",29777,135100,1,20000 - 49999,mid,46.958133697509766,7.41841459274292
1733475937-1271,HYMER B 585,CHF 49'777.–,121'200 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",49777,121200,1,20000 - 49999,mid,46.92721176147461,7.455002784729004
1733475940-1272,OPEL Vivaro Saranda Beach,CHF 17'900.–,145'140 km,Diesel,"Aspstrasse 12, 8472 Seuzach",17900,145140,1,0 - 19999,mid,47.21958923339844,8.986641883850098
1733475943-1273,MERCEDES-BENZ Marco Polo 250 d 7G-Tronic,CHF 57'900.–,54'900 km,Diesel,"Amriswilerstrasse 4, 9220 Bischofszell",57900,54900,1,50000 - 99999,low-mid,47.26387023925781,8.429641723632812
1733475946-1274,VW T6.1 California 2.0 TDI Beach,CHF 65'990.–,15'900 km,Diesel,"Pfäffikerstrasse 32, 8610 Uster",65990,15900,1,50000 - 99999,low,46.3934440612793,6.922110557556152
1733475959-1277,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 72'900.–,18'000 km,Diesel,"Alte Steinhauserstrasse 1, 6330 Cham",72900,18000,1,50000 - 99999,low,47.46204376220703,8.335746765136719
1733475961-1278,IVECO Eurotrakker 6x6,CHF 217'500.–,165'000 km,Diesel,8854 Siebnen,217500,165000,1,200000 - 499999,mid,47.46204376220703,8.335746765136719
1733475965-1279,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 64'500.–,21'617 km,Diesel,6600 Muralto,64500,21617,1,50000 - 99999,low,47.10655975341797,8.353533744812012
1733475970-1280,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,CHF 82'900.–,39'000 km,Diesel,6206 Neuenkirch,82900,39000,1,50000 - 99999,low,47.30259323120117,8.5463285446167
1733475973-1281,VW T6 California 2.0 Bi-TDI Ocean GREY 4Motion,CHF 55'000.–,87'674 km,Diesel,1630 Bulle,55000,87674,1,50000 - 99999,low-mid,46.689552307128906,7.8774333000183105
1733475977-1282,BIMOBIL,CHF 95'000.–,80'000 km,Diesel,5303 Würenlingen,95000,80000,1,50000 - 99999,low-mid,46.720638275146484,7.103760719299316
1733475982-1283,RENAULT T35 2.3dCi L2H2,CHF 25'300.–,59'000 km,Diesel,1489 Murist,25300,59000,1,20000 - 49999,low-mid,47.716819763183594,8.66743278503418
1733475987-1284,VW Caddy - GEOVAN M,CHF 31'900.–,33'000 km,Diesel,4528 Zuchwil,31900,33000,1,20000 - 49999,low,46.25404357910156,7.422774314880371
1733475994-1285,CARADO I338 Edition 15,CHF 77'900.–,11'000 km,Diesel,8214 Gächlingen,77900,11000,1,50000 - 99999,low,47.27771759033203,8.451860427856445
1733475998-1286,FIAT Ducato Bantam Premium 540G pack hivers,CHF 55'990.–,46'500 km,Diesel,1009 Pully,55990,46500,1,50000 - 99999,low,47.048038482666016,7.499077320098877
1733476003-1287,MERCEDES-BENZ Atego 4x4 autarkes Kraftpaket,CHF 284'000.–,115'000 km,Diesel,9056 Gais,284000,115000,1,200000 - 499999,mid,47.385826110839844,8.669831275939941
1733476017-1288,VW T6.1 California 2.0 TDI Ocean Edition Liberty,CHF 68'900.–,27'000 km,Diesel,"Via S. Gottardo 71, 6500 Bellinzona",68900,27000,1,50000 - 99999,low,46.39403533935547,8.065515518188477
1733476023-1289,BÜRSTNER 230/14,CHF 27'777.–,97'900 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",27777,97900,1,20000 - 49999,low-mid,47.416194915771484,8.717037200927734
1733476030-1290,VW Grand California 600 2.0 BI-TDI,CHF 69'900.–,20'000 km,Diesel,"Birsfelderstrasse 50, 4132 Muttenz",69900,20000,1,50000 - 99999,low,47.13540267944336,8.045092582702637
1733476035-1291,VW Grand California 600 2.0 BI-TDI,CHF 58'900.–,42'800 km,Diesel,"Rue d' Etrablon 1, 1023 Crissier",58900,42800,1,50000 - 99999,low,47.33164978027344,9.395992279052734
1733476041-1292,"HYMER Exsis I 474, Fiat Ducato 2.3MJ 150PS Automat",CHF 68'900.–,30'000 km,Diesel,8406 Winterthur,68900,30000,1,50000 - 99999,low,47.26387023925781,8.429641723632812
1733476046-1293,EURA MOBIL Terrestra,CHF 35'777.–,97'300 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",35777,97300,1,20000 - 49999,low-mid,47.46330642700195,9.022964477539062
1733476058-1295,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 64'900.–,16'000 km,Diesel,"Giessenstrasse 4, 8600 Dübendorf",64900,16000,1,50000 - 99999,low,47.40205001831055,8.60916519165039
1733476062-1296,VW T6.1 California 2.0 TDI Ocean Edition Liberty,CHF 65'990.–,14'500 km,Diesel,"Aarauerstrasse 22, 5116 Schinznach-Bad",65990,14500,1,50000 - 99999,low,47.40205001831055,8.60916519165039
1733476070-1297,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 65'900.–,16'000 km,Diesel,"Giessenstrasse 4, 8600 Dübendorf",65900,16000,1,50000 - 99999,low,47.21701431274414,8.576250076293945
1733476077-1298,VW T3 Syncro Caravelle C 2.1,CHF 49'500.–,108'000 km,Benzin,8267 Berlingen TG,49500,108000,0,20000 - 49999,mid,47.03104019165039,7.435095310211182
1733476098-1301,WEINSBERG VW T6.1 Bulli,CHF 69'900.–,28'500 km,Diesel,5405 Dättwil AG,69900,28500,1,50000 - 99999,low,46.7801399230957,7.635182857513428
1733476105-1302,PEUGEOT BOXER AUSBAU ganz Neu unbenutzt,CHF 54'499.–,250'000 km,Diesel,8620 Wetzikon,54499,250000,1,50000 - 99999,mid-high,47.421173095703125,8.156651496887207
1733476112-1303,MERCEDES-BENZ 917,CHF 39'900.–,85'000 km,Diesel,3315 Bätterkinden,39900,85000,1,20000 - 49999,low-mid,47.41262435913086,8.53308391571045
1733476117-1304,PEUGEOT BOXER liebevoll umgebauter Camper,CHF 22'250.–,262'300 km,Diesel,4410 Liestal,22250,262300,1,20000 - 49999,mid-high,46.958133697509766,7.41841459274292
1733476134-1306,VW T6 California 2.0 TDI Ocean Liberty 4Motion,CHF 57'900.–,63'000 km,Diesel,3714 Frutigen,57900,63000,1,50000 - 99999,low-mid,46.9129753112793,7.418245792388916
1733476151-1308,VW T6.1 California 2.0 TDI Beach Edition Spirit 4Motion,CHF 76'500.–,17'500 km,Diesel,"Hölzliwisenstrasse 1, 8604 Volketswil",76500,17500,1,50000 - 99999,low,46.9736442565918,8.096931457519531
1733476155-1309,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 67'900.–,27'000 km,Diesel,"Giessenstrasse 4, 8600 Dübendorf",67900,27000,1,50000 - 99999,low,46.94172668457031,7.401480674743652
1733476159-1310,VW T6.1 California 2.0 TDI Ocean Liberty 4Motion,CHF 72'999.–,19'900 km,Diesel,"Giessenstrasse 4, 8600 Dübendorf",72999,19900,1,50000 - 99999,low,47.06898880004883,8.36972713470459
1733476163-1311,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,CHF 73'490.–,41'500 km,Diesel,"Route du Nant-d'Avril 34, 1214 Vernier",73490,41500,1,50000 - 99999,low,46.205406188964844,9.035849571228027
1733476169-1313,VW T6.1 California 2.0 TDI Beach,CHF 64'990.–,22'500 km,Diesel,"Rossbodenstrasse 14-16, 7000 Chur",64990,22500,1,50000 - 99999,low,47.19110107421875,8.480803489685059
1733476176-1315,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 62'900.–,34'000 km,Diesel,"Route du Nant-d'Avril 34, 1214 Vernier",62900,34000,1,50000 - 99999,low,47.27289962768555,9.110121726989746
1733476184-1317,VW T6 California 2.0 TDI Ocean BLUE,CHF 52'900.–,105'000 km,Diesel,"Gotthardstrasse 18, 6414 Oberarth",52900,105000,1,50000 - 99999,mid,47.19743347167969,8.813333511352539
1733476198-1321,VW T6.1 California 2.0 TDI Ocean Liberty 4Motion,CHF 66'000.–,50'000 km,Diesel,1007 Lausanne,66000,50000,1,50000 - 99999,low,46.673065185546875,8.751343727111816
1733476201-1322,MERCEDES-BENZ Sprinter 316 CDI,CHF 24'900.–,214'300 km,Diesel,4466 Ormalingen,24900,214300,1,20000 - 49999,mid-high,47.45597457885742,8.637772560119629
1733476204-1323,FIAT Ducato ARCA P740,CHF 56'500.–,49'000 km,Diesel,6535 Roveredo,56500,49000,1,50000 - 99999,low,46.18833541870117,6.047383785247803
1733476206-1324,RENAULT TRAFIC L2H1,CHF 16'800.–,235'000 km,Diesel,8802 Kilchberg,16800,235000,1,0 - 19999,mid-high,47.50355529785156,8.72974967956543
